id,modelo,timestamp,consulta,ncm,descricao,atributos,atributos_tipi,valores_impostos,classificacao_tributaria
2025N00011,Nexcode-0.1-BETA,2025-01-13T14:43:22.327607,camarão ao alho e óleo,16052100,"Crustáceos, preparados ou conservados, camarões, inteiros ou em pedaços, cozidos no vapor ou em água a ferver, mesmo adicionados de vinagre ou ácido acético","[""Camarão"", ""Alho e óleo"", ""Preparado"", ""Conservado"", ""Alimentício""]","[""Crustáceos"", ""Preparados ou conservados"", ""Camarões"", ""Inteiros ou em pedaços"", ""Cozidos no vapor ou em água a ferver"", ""Mesmo adicionados de vinagre ou ácido acético""]","{""ipi"": ""0"", ""icms"": {""estado"": ""Variável por estado""}, ""pis"": ""1,65%"", ""cofins"": ""7,6%""}","{""monofasico"": false, ""aliquota_zero"": false, ""ipi_entrada"": ""0"", ""ipi_saida"": ""0"", ""pis_entrada"": ""1,65%"", ""pis_saida"": ""1,65%"", ""cofins_entrada"": ""7,6%"", ""cofins_saida"": ""7,6%"", ""cst_entrada"": ""Variável conforme regime tributário"", ""cst_saida"": ""Variável conforme regime tributário""}"
2025N00012,Nex-0.3-Preview-2024,2025-01-14T15:36:43.749743,pasta de dentes,33.06.10.00,"Pasta de dentes, com ou sem adição de outras substâncias.","[""Tipo de pasta de dentes"", ""Composição (com ou sem flúor)"", ""Forma de apresentação (tubo, bisnaga, pote, etc)"", ""Volume ou peso da embalagem"", ""Marca"", ""Modelo ou variante""]","[""Dentifrícios""]","{""ipi"": ""0"", ""icms"": {}, ""pis"": ""1.65"", ""cofins"": ""7.60""}","{""monofasico"": false, ""aliquota_zero"": false, ""ipi_entrada"": ""0"", ""ipi_saida"": ""0"", ""pis_entrada"": ""1.65"", ""pis_saida"": ""1.65"", ""cofins_entrada"": ""7.60"", ""cofins_saida"": ""7.60"", ""cst_entrada"": ""50"", ""cst_saida"": ""50""}"
2025N00013,Nex-0.3-Preview-2024,2025-01-14T15:39:58.989489,resma de folha,48.02.56.99,"Outros papéis e cartões, não revestidos, dos tipos utilizados para escrita, impressão ou outros fins gráficos, e papel e cartão para fabricar cartões ou tiras perfurados, não perfurados, em folhas de formato quadrado ou retangular, de quaisquer dimensões, exceto papel dos tipos descritos no texto da posição 48.01 ou 48.03; papel e cartão feitos à mão (folha a folha).","[""Resma de folhas"", ""Papel para escrita, impressão ou outros fins gráficos"", ""Formato quadrado ou retangular"", ""Não revestido"", ""Não perfurado""]","[""Outros""]","{""ipi"": ""5%"", ""icms"": {}, ""pis"": ""1,65%"", ""cofins"": ""7,6%""}","{""monofasico"": false, ""aliquota_zero"": false, ""ipi_entrada"": ""5%"", ""ipi_saida"": ""5%"", ""pis_entrada"": ""1,65%"", ""pis_saida"": ""1,65%"", ""cofins_entrada"": ""7,6%"", ""cofins_saida"": ""7,6%"", ""cst_entrada"": ""50"", ""cst_saida"": ""50""}"
2025N00014,Nex-0.3-Preview-2024,2025-01-14T15:44:11.493719,caldo de galinha,21.04.10.11,"Preparações para caldos e sopas, à base de carne de galinha","[""Preparação alimentícia"", ""Base de carne de galinha"", ""Destinado a elaboração de caldos e sopas"", ""Pode ser em tabletes, cubos, pó, pasta ou outras formas""]","[""À base de carne de galinha""]","{""ipi"": ""0"", ""icms"": {}, ""pis"": ""1.65"", ""cofins"": ""7.6""}","{""monofasico"": false, ""aliquota_zero"": false, ""ipi_entrada"": ""0"", ""ipi_saida"": ""0"", ""pis_entrada"": ""1.65"", ""pis_saida"": ""1.65"", ""cofins_entrada"": ""7.6"", ""cofins_saida"": ""7.6"", ""cst_entrada"": ""50"", ""cst_saida"": ""50""}"
2025N00015,Nex-0.3-Preview-2024,2025-01-14T15:48:58.623413,caldo de galinha dangola,,,[],[],{},{}
2025N00016,Nex-0.3-Preview-2024,2025-01-14T15:49:29.906727,caldo de galinha da angola,21.04.10.11,"Preparações para caldos e sopas, à base de carne de aves","[""Preparação alimentícia"", ""Base de carne de aves"", ""Destinado à elaboração de caldos ou sopas"", ""Pode conter outros ingredientes além da carne de aves""]","[""Preparações para caldos"", ""Preparações para sopas"", ""À base de carne de aves""]","{""ipi"": ""0"", ""icms"": {}, ""pis"": ""1.65"", ""cofins"": ""7.60""}","{""monofasico"": false, ""aliquota_zero"": false, ""ipi_entrada"": ""0"", ""ipi_saida"": ""0"", ""pis_entrada"": ""1.65"", ""pis_saida"": ""1.65"", ""cofins_entrada"": ""7.60"", ""cofins_saida"": ""7.60"", ""cst_entrada"": ""50"", ""cst_saida"": ""50""}"
2025N00017,Nex-0.3-Preview-2024,2025-01-15T09:52:16.283436,café com leite,21.01.12.00,"Preparações à base de café, contendo leite","[""Preparação à base de café"", ""Contém leite"", ""Produto pronto para consumo"", ""Pode ser vendido em embalagens individuais ou múltiplas"", ""Pode ser encontrado em forma líquida ou em pó""]","[""Extrato, essências e concentrados de café"", ""Preparações à base desses extratos, essências ou concentrados ou à base de café"", ""Contendo leite""]","{""ipi"": ""0"", ""icms"": {}, ""pis"": ""0,00"", ""cofins"": ""0,00""}","{""monofasico"": false, ""aliquota_zero"": true, ""ipi_entrada"": ""0"", ""ipi_saida"": ""0"", ""pis_entrada"": ""0,00"", ""pis_saida"": ""0,00"", ""cofins_entrada"": ""0,00"", ""cofins_saida"": ""0,00"", ""cst_entrada"": """", ""cst_saida"": """"}"
2025N00018,Nexcode-0.1-BETA,2025-01-15T09:53:22.290511,café com leite,2101.11.10,"Extrato de café, contendo café e leite, pronto para consumo","[""Contém café"", ""Contém leite"", ""Pronto para consumo"", ""Apresentação: líquido"", ""Embalagem: especificar (ex: lata, garrafa, caixa)""]","[""Extrato, essência e concentrado de café, e preparações à base destes produtos"", ""Contendo café e leite""]","{""ipi"": 0, ""icms"": {""estado"": ""Variável conforme o estado""}, ""pis"": ""Variável conforme regime tributário"", ""cofins"": ""Variável conforme regime tributário""}","{""monofasico"": false, ""aliquota_zero"": false, ""ipi_entrada"": ""Variável conforme regime tributário"", ""ipi_saida"": ""não tributado"", ""pis_entrada"": ""Variável conforme regime tributário"", ""pis_saida"": ""Variável conforme regime tributário"", ""cofins_entrada"": ""Variável conforme regime tributário"", ""cofins_saida"": ""Variável conforme regime tributário"", ""cst_entrada"": ""Variável conforme regime tributário"", ""cst_saida"": ""Variável conforme regime tributário""}"
2025N00019,Nex-0.1-Pro-2024,2025-01-15T09:55:28.043485,café com leite,21.01.43.10,Café com leite pronto para consumo,"[""Produto pronto para consumo"", ""Não necessita de preparo adicional"", ""Embalagem para venda ao consumidor""]","[""Bebidas, líquidos alcoólicos e vinagres"", ""Café, chá, mate e especiarias"", ""Café, mesmo torrado ou descafeinado; cascas e películas de café; sucedâneos do café contendo café em qualquer proporção""]","{""ipi"": ""10%"", ""icms"": {""estado"": ""18%""}, ""pis"": ""1.65%"", ""cofins"": ""7.6%""}","{""monofasico"": false, ""aliquota_zero"": false, ""ipi_entrada"": ""10%"", ""ipi_saida"": ""10%"", ""pis_entrada"": ""1.65%"", ""pis_saida"": ""1.65%"", ""cofins_entrada"": ""7.6%"", ""cofins_saida"": ""7.6%"", ""cst_entrada"": ""00"", ""cst_saida"": ""00""}"
2025N00020,Nex-0.3-Preview-2024,2025-01-15T09:57:31.723637,Mouse sem fio,84.71.30.12,"Mouse sem fio, dispositivo apontador para computadores","[""Tipo de conexão: sem fio"", ""Tecnologia de conexão: não especificada"", ""Ergonômico: não especificado"", ""Quantidade de botões: não especificada"", ""Presença de scroll: não especificada"", ""Resolução do sensor: não especificada"", ""Compatibilidade: não especificada""]","[""Tipo de conexão: sem fio""]","{""ipi"": ""15%"", ""icms"": {}, ""pis"": ""1.65%"", ""cofins"": ""7.6%""}","{""monofasico"": false, ""aliquota_zero"": false, ""ipi_entrada"": ""15%"", ""ipi_saida"": ""15%"", ""pis_entrada"": ""1.65%"", ""pis_saida"": ""1.65%"", ""cofins_entrada"": ""7.6%"", ""cofins_saida"": ""7.6%"", ""cst_entrada"": ""50"", ""cst_saida"": ""50""}"
2025N00021,Nex-0.3-Preview-2024,2025-01-15T10:01:34.740914,café com leite,21.01.12.00,"Extratos, essências e concentrados de café com leite","[""Tipo de produto: Extrato, essência ou concentrado"", ""Composição: Café e leite"", ""Forma de apresentação: Líquido, pó ou granulado"", ""Processo de fabricação: Extração, concentração ou mistura"", ""Finalidade: Preparação de bebidas""]","[""Extratos, essências e concentrados de café"", ""Acondicionados para venda a retalho""]","{""ipi"": ""0"", ""icms"": {}, ""pis"": ""0,65"", ""cofins"": ""3""}","{""monofasico"": false, ""aliquota_zero"": false, ""ipi_entrada"": ""0"", ""ipi_saida"": ""0"", ""pis_entrada"": ""1,65"", ""pis_saida"": ""0,65"", ""cofins_entrada"": ""7,6"", ""cofins_saida"": ""3"", ""cst_entrada"": ""50"", ""cst_saida"": ""01""}"
2025N00022,Nex-0.3-Preview-2024,2025-01-15T10:02:17.540632,tridente chiclet,17.04.10.00,"Gomas de mascar (chicles), mesmo revestidas de açúcar","[""Goma de mascar"", ""Chiclete"", ""Embalado para venda a retalho"", ""Contém açúcar""]","[""Gomas de mascar, sem açúcar"", ""Gomas de mascar, com açúcar""]","{""ipi"": ""5%"", ""icms"": {}, ""pis"": ""0,65%"", ""cofins"": ""3%""}","{""monofasico"": false, ""aliquota_zero"": false, ""ipi_entrada"": ""5%"", ""ipi_saida"": ""5%"", ""pis_entrada"": ""1,65%"", ""pis_saida"": ""1,65%"", ""cofins_entrada"": ""7,60%"", ""cofins_saida"": ""7,60%"", ""cst_entrada"": ""50"", ""cst_saida"": ""50""}"
2025N00023,Nex-0.3-Preview-2024,2025-01-15T10:03:01.154956,tridente chiclet,17.04.10.00,"Gomas de mascar (chicles), mesmo revestidas de açúcar","[""Goma de mascar"", ""Chiclete"", ""Pode conter açúcar"", ""Pode ser revestido de açúcar"", ""Produto acabado"", ""Pronto para consumo""]","[""Gomas de mascar (chicles)"", ""Revestidas de açúcar""]","{""ipi"": ""5%"", ""icms"": {}, ""pis"": ""1,65%"", ""cofins"": ""7,6%""}","{""monofasico"": false, ""aliquota_zero"": false, ""ipi_entrada"": ""5%"", ""ipi_saida"": ""5%"", ""pis_entrada"": ""1,65%"", ""pis_saida"": ""1,65%"", ""cofins_entrada"": ""7,6%"", ""cofins_saida"": ""7,6%"", ""cst_entrada"": """", ""cst_saida"": """"}"
2025N00024,Nex-0.3-Preview-2024,2025-01-15T10:03:32.821195,quebra cabeça,95.03.00.79,Outros brinquedos apresentados em sortidos ou em panóplias,"[""Tipo de brinquedo: Quebra-cabeça"", ""Material: Não informado"", ""Dimensões: Não informadas"", ""Quantidade de peças: Não informada"", ""Faixa etária recomendada: Não informada"", ""Marca: Não informada"", ""Modelo: Não informado"", ""Origem: Não informada""]","[""Outros""]","{""ipi"": ""20%"", ""icms"": {}, ""pis"": ""1,65%"", ""cofins"": ""7,6%""}","{""monofasico"": false, ""aliquota_zero"": false, ""ipi_entrada"": ""20%"", ""ipi_saida"": ""20%"", ""pis_entrada"": ""1,65%"", ""pis_saida"": ""1,65%"", ""cofins_entrada"": ""7,6%"", ""cofins_saida"": ""7,6%"", ""cst_entrada"": ""50"", ""cst_saida"": ""50""}"
2025N00025,Nex-0.3-Preview-2024,2025-01-15T10:09:15.718130,quebra cabeça,95.03.00.79,"Quebra-cabeças e outros jogos, mesmo com motor ou mecanismo, exceto os classificados nas subposições 9504.30 e 9504.40","[""Tipo de quebra-cabeça"", ""Material de fabricação"", ""Número de peças"", ""Faixa etária recomendada"", ""Dimensões da embalagem""]","[""Outros""]","{""ipi"": ""20%"", ""icms"": {}, ""pis"": ""1,65%"", ""cofins"": ""7,6%""}","{""monofasico"": false, ""aliquota_zero"": false, ""ipi_entrada"": ""20%"", ""ipi_saida"": ""20%"", ""pis_entrada"": ""1,65%"", ""pis_saida"": ""1,65%"", ""cofins_entrada"": ""7,6%"", ""cofins_saida"": ""7,6%"", ""cst_entrada"": ""50"", ""cst_saida"": ""50""}"
2025N00026,Nex-0.3-Preview-2024,2025-01-15T10:09:31.939971,quebra cabeça,95.03.00.99,"Quebra-cabeças, de madeira ou outros materiais","[""Tipo de material: madeira, papel, plástico, etc."", ""Número de peças"", ""Faixa etária recomendada"", ""Dimensões da embalagem"", ""Peso do produto""]","[""Outros""]","{""ipi"": ""20%"", ""icms"": {}, ""pis"": ""1,65%"", ""cofins"": ""7,6%""}","{""monofasico"": false, ""aliquota_zero"": false, ""ipi_entrada"": ""20%"", ""ipi_saida"": ""20%"", ""pis_entrada"": ""1,65%"", ""pis_saida"": ""1,65%"", ""cofins_entrada"": ""7,6%"", ""cofins_saida"": ""7,6%"", ""cst_entrada"": """", ""cst_saida"": """"}"
2025N00027,Nex-0.3-Preview-2024,2025-01-15T10:09:52.628995,quebra cabeça,95.03.00.99,"Outros brinquedos apresentados em sortidos ou em panóplias, não especificados nem compreendidos noutras posições, incluindo quebra-cabeças","[""Tipo de brinquedo: Quebra-cabeça"", ""Material predominante: Não informado"", ""Faixa etária recomendada: Não informado"", ""Dimensões do produto: Não informado"", ""Marca: Não informado"", ""Modelo: Não informado"", ""Número de peças: Não informado""]","[""Ex 01 - Brinquedos de pelúcia e de outros materiais têxteis, exceto de tecido""]","{""ipi"": ""20%"", ""icms"": {}, ""pis"": ""Não informado"", ""cofins"": ""Não informado""}","{""monofasico"": false, ""aliquota_zero"": false, ""ipi_entrada"": ""20%"", ""ipi_saida"": ""20%"", ""pis_entrada"": ""Não informado"", ""pis_saida"": ""Não informado"", ""cofins_entrada"": ""Não informado"", ""cofins_saida"": ""Não informado"", ""cst_entrada"": ""Não informado"", ""cst_saida"": ""Não informado""}"
2025N00028,Nex-0.3-Preview-2024,2025-01-15T10:12:02.190514,quebra cabeça,95.03.00.79,"Outros brinquedos apresentados em sortidos ou em panóplias, incluindo quebra-cabeças (puzzles).","[""Tipo de brinquedo: Quebra-cabeça"", ""Material: Não especificado"", ""Faixa etária recomendada: Não especificada"", ""Número de peças: Não especificado"", ""Dimensões do produto: Não especificadas""]","[""Outros"", ""Apresentados em sortidos ou em panóplias""]","{""ipi"": ""0%"", ""icms"": {""estado"": ""Não informado""}, ""pis"": ""Não informado"", ""cofins"": ""Não informado""}","{""monofasico"": false, ""aliquota_zero"": false, ""ipi_entrada"": ""0%"", ""ipi_saida"": ""0%"", ""pis_entrada"": ""Não informado"", ""pis_saida"": ""Não informado"", ""cofins_entrada"": ""Não informado"", ""cofins_saida"": ""Não informado"", ""cst_entrada"": ""Não informado"", ""cst_saida"": ""Não informado""}"
2025N00029,Nex-0.3-Preview-2024,2025-01-15T10:13:45.191070,smartphome,85.43.70.10,"Máquinas e aparelhos elétricos com funções próprias, não especificados nem compreendidos noutras posições do Capítulo 85 da NCM, destinados a equipar residências, escritórios, hotéis etc.","[""Dispositivo eletrônico"", ""Conectividade sem fio"", ""Controle remoto por aplicativo"", ""Compatibilidade com assistentes de voz"", ""Automação residencial""]","[""Máquinas e aparelhos para desinfetar ou esterilizar"", ""Amplificadores para instrumentos musicais e outros aparelhos de amplificação sonora"", ""Tradutores (interpreters) portáteis de bolso"", ""Transmissores eletrônicos de sinais de vídeo (Wireless HDMI e similares)""]","{""ipi"": ""15%"", ""icms"": {}, ""pis"": ""1,65%"", ""cofins"": ""7,6%""}","{""monofasico"": false, ""aliquota_zero"": false, ""ipi_entrada"": ""15%"", ""ipi_saida"": ""15%"", ""pis_entrada"": ""1,65%"", ""pis_saida"": ""1,65%"", ""cofins_entrada"": ""7,6%"", ""cofins_saida"": ""7,6%"", ""cst_entrada"": ""50"", ""cst_saida"": ""50""}"
2025N00030,Nex-0.3-Preview-2024,2025-01-15T11:56:28.317063,pano de prato,63.02.91.10,"Pano de prato de algodão, com bordados, laços, entremeios ou aplicações, não atoalhado","[""Pano de prato"", ""Material: algodão"", ""Com bordados, laços, entremeios ou aplicações"", ""Não atoalhado""]","[""De algodão, com bordados, laços, entremeios ou aplicações, não atoalhado""]","{""ipi"": ""0"", ""icms"": {}, ""pis"": """", ""cofins"": """"}","{""monofasico"": false, ""aliquota_zero"": false, ""ipi_entrada"": ""0"", ""ipi_saida"": ""0"", ""pis_entrada"": """", ""pis_saida"": """", ""cofins_entrada"": """", ""cofins_saida"": """", ""cst_entrada"": """", ""cst_saida"": """"}"
2025N00031,Nex-0.3-Preview-2024,2025-01-15T12:35:26.058500,carne de frango,02.07.12.00,"Carnes e miudezas comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 0105 - Galos e galinhas - Não cortadas em pedaços, congeladas","[""Tipo de produto: Carne de frango"", ""Forma de apresentação: Inteiro (não cortado em pedaços)"", ""Conservação: Congelada"", ""Espécie: Galos e galinhas domésticos (Gallus domesticus)""]","[""Carnes e miudezas, comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 01.05"", ""Galos e galinhas"", ""Não cortadas em pedaços, congeladas""]","{""ipi"": ""0%"", ""icms"": {}, ""pis"": ""Não especificado na TIPI"", ""cofins"": ""Não especificado na TIPI""}","{""monofasico"": false, ""aliquota_zero"": false, ""ipi_entrada"": ""0%"", ""ipi_saida"": ""0%"", ""pis_entrada"": ""Não especificado na TIPI"", ""pis_saida"": ""Não especificado na TIPI"", ""cofins_entrada"": ""Não especificado na TIPI"", ""cofins_saida"": ""Não especificado na TIPI"", ""cst_entrada"": ""Não especificado na TIPI"", ""cst_saida"": ""Não especificado na TIPI""}"
2025N00032,Nex-0.3-Preview-2024,2025-01-15T12:39:10.454069,carne de frango,02.07.12.00,"Carnes e miudezas comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 01.05 - Não cortadas em pedaços - De galos e de galinhas","[""Tipo de carne: frango"", ""Corte: inteiro"", ""Conservação: fresca, refrigerada ou congelada"", ""Origem: nacional ou importada""]","[""Carnes e miudezas, comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 01.05"", ""Não cortadas em pedaços"", ""De galos e de galinhas""]","{""ipi"": ""0%"", ""icms"": {""estado"": ""Não informado""}, ""pis"": ""Não informado"", ""cofins"": ""Não informado""}","{""monofasico"": false, ""aliquota_zero"": true, ""ipi_entrada"": ""0%"", ""ipi_saida"": ""0%"", ""pis_entrada"": ""Não informado"", ""pis_saida"": ""Não informado"", ""cofins_entrada"": ""Não informado"", ""cofins_saida"": ""Não informado"", ""cst_entrada"": ""Não informado"", ""cst_saida"": ""Não informado""}"
2025N00033,Nex-0.3-Preview-2024,2025-01-15T12:47:43.607261,carne de frango,02.07.12.00,"Carnes e miudezas comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 01.05, de galos e de galinhas.","[""Tipo de carne: frango"", ""Forma de apresentação: fresca, refrigerada ou congelada"", ""Cortes específicos, se aplicável (ex: peito, coxa, asa)"", ""Embalagem e acondicionamento""]","[""Carnes de galos e de galinhas, não cortadas em pedaços, frescas ou refrigeradas"", ""Outras carnes de galos e de galinhas, frescas ou refrigeradas"", ""Carnes de galos e de galinhas, não cortadas em pedaços, congeladas"", ""Pedaços e miudezas, comestíveis, de galos e de galinhas, congelados""]","{""ipi"": ""0.00"", ""icms"": {}, ""pis"": ""0.00"", ""cofins"": ""0.00""}","{""monofasico"": false, ""aliquota_zero"": true, ""ipi_entrada"": ""0.00"", ""ipi_saida"": ""0.00"", ""pis_entrada"": ""0.00"", ""pis_saida"": ""0.00"", ""cofins_entrada"": ""0.00"", ""cofins_saida"": ""0.00"", ""cst_entrada"": ""01"", ""cst_saida"": ""01""}"
